kelurahan_id,area_km2,road_length_km,road_density_km_per_km2,pct_primary_secondary,pct_residential_tertiary,pct_footway_pedestrian,avg_road_class_score,network_connectivity,n_road_segments,n_intersections
IDN.4.3.12.7_1,1.6817,22.0545,13.1144,40.66,54.84,4.5,3.1313,15.46,176,26
IDN.4.3.12.8_1,1.9677,27.8511,14.1541,25.94,52.97,21.09,2.459,19.82,229,39
IDN.4.3.12.9_1,1.8135,29.5783,16.3097,11.15,86.35,2.5,2.3304,29.22,363,53
IDN.4.3.12.10_1,1.8078,48.9731,27.0896,11.58,86.73,1.69,2.3509,60.85,635,110
IDN.4.3.12.11_1,1.2865,34.1657,26.5579,15.79,82.63,1.58,2.3697,59.08,539,76
IDN.4.3.13.1_1,1.7982,33.928,18.8677,30.09,67.66,2.24,2.9792,36.7,316,66
IDN.4.3.13.2_1,1.8875,42.8546,22.7046,18.24,79.89,1.87,2.5308,32.32,403,61
IDN.4.3.13.3_1,2.9936,48.4789,16.1943,12.04,87.01,0.96,2.3698,24.05,516,72
IDN.4.3.13.4_1,3.3287,49.486,14.8665,0.36,99.48,0.16,2.2646,21.63,414,72
IDN.4.3.13.5_1,0.8247,13.239,16.054,26.31,71.86,1.84,2.612,24.25,148,20
